Test_Depth,Size,Coded_Site,C,Si,Mn,S,Cr,Mo,Ni,Al,V,H_Temp,Coded_Cool,T_Temp,Imp_Temp,Charpy Energy
19.5,117,6,0.3,0.26,1.65,0.016,0.15,0.02,0.11,0.02,0.051,870,3,640,-20,110
12.7,90,5,0.305,0.24,0.58,0.033,0.71,0.51,2.43,0.033,0.004,850,2,640,20,94
12.7,150,6,0.21,0.24,1.55,0.031,0.17,0.06,0.23,0.022,0.004,860,3,620,-20,186.6667
12.5,305,3,0.41,0.28,0.58,0.03,1.18,0.27,1.4,0.04,0.002,850,2,620,20,49.3333
25.4,107.95,4,0.46,0.24,1.02,0.017,1.08,0.32,0.2,0.028,0.004,870,3,600,20,70.6667
41.275,82.55,3,0.42,0.25,0.96,0.004,1.07,0.23,0.15,0.03,0.005,860,3,705,-32,92.3333
25.4,311.15,3,0.4,0.21,0.93,0.019,1.14,0.33,0.16,0.018,0.005,870,3,700,23,128.3333
12.7,240,3,0.32,0.23,0.53,0.01,1.08,0.24,0.24,0.028,0.003,870,3,660,-32,39.77
12.5,240,3,0.42,0.29,0.84,0.035,1,0.2,0.2,0.027,0.004,860,3,660,20,97
12.7,190,3,0.36,0.32,0.76,0.033,1.41,0.21,1.36,0.032,0.009,860,1,565,-20,25.3333
25.4,69.85,3,0.42,0.26,0.95,0.018,1.06,0.24,0.15,0.026,0.005,860,3,585,-32,72.6667
12.7,300,4,0.42,0.28,0.76,0.024,1.09,0.2,0.24,0.036,0.005,850,3,620,20,70.32
12.5,75,3,0.42,0.24,0.94,0.018,1.16,0.23,0.16,0.02,0.005,860,3,710,-32,141
12.5,220,3,0.41,0.29,0.78,0.026,1.13,0.19,0.29,0.035,0.005,860,3,660,-20,83.3333
19.5,117,6,0.25,0.31,1.3,0.01,1.33,0.31,0.7,0.029,0.004,880,3,620,-20,143
12.5,153,3,0.355,0.21,0.66,0.032,1.38,0.19,1.3,0.03,0.005,855,2,560,-20,27.3333
25.4,88.9,3,0.42,0.24,0.95,0.022,1.08,0.24,0.22,0.023,0.005,860,3,700,-32,124.6667
12.5,101.6,6,0.32,0.24,0.54,0.002,1.03,0.24,0.18,0.034,0.005,900,3,660,-32,108.0123
12.7,80,4,0.315,0.28,0.54,0.002,1.04,0.23,0.2,0.031,0.004,870,3,640,-32,141.9073
47.625,95.25,3,0.42,0.25,0.95,0.003,1.04,0.24,0.24,0.031,0.005,870,3,705,-32,97.6177
25.4,245,4,0.46,0.23,1.02,0.022,1.06,0.33,0.2,0.028,0.005,870,3,600,20,71.3333
41.275,82.55,3,0.41,0.25,0.96,0.015,1.04,0.24,0.21,0.028,0.005,870,3,580,-32,54.2323
25,150,6,0.41,0.28,0.65,0.032,1.1,0.2,0.26,0.024,0.004,840,3,630,23,90
12.7,305,3,0.32,0.29,0.53,0.002,1.04,0.25,0.2,0.034,0.004,870,3,660,-32,76.829
22.5,135,3,0.3,0.21,0.58,0.032,2,0.38,2.01,0.028,0.005,860,1,580,-20,96.6667
44.45,88.9,3,0.42,0.27,0.94,0.008,1.05,0.24,0.24,0.046,0.005,870,3,600,-32,84.3333
25.4,241.3,4,0.42,0.28,1.02,0.008,1.17,0.33,0.23,0.028,0.005,870,3,690,23,127.6667
19.5,117,6,0.305,0.27,1.71,0.021,0.17,0.03,0.11,0.021,0.061,870,3,640,-20,98.6667
