Test_Depth,Size,Coded_Site,C,Si,Mn,S,Cr,Mo,Ni,Al,V,H_Temp,Coded_Cool,T_Temp,Imp_Temp,Charpy Energy
12.7,240,3,0.41,0.28,0.57,0.025,1.21,0.28,1.42,0.03,0.005,850,1,620,20,63.3333
12.7,99,5,0.41,0.24,0.56,0.016,1.23,0.27,1.4,0.033,0.003,850,1,660,20,103.6667
12.7,290,4,0.43,0.28,0.75,0.024,1.13,0.23,0.2,0.028,0.004,850,3,640,20,101
25.4,152.4,4,0.42,0.24,0.93,0.013,1.05,0.23,0.18,0.024,0.005,860,3,680,-32,91.3333
12.7,250,3,0.41,0.24,0.76,0.022,1.18,0.21,0.18,0.03,0.005,860,3,640,20,102.4
12.5,181,3,0.295,0.24,0.44,0.014,1.98,0.38,1.99,0.023,0.005,860,2,570,-20,98.9333
12.5,320,4,0.41,0.25,0.94,0.018,1.15,0.23,0.14,0.026,0.005,870,3,690,-32,66.6667
12.5,50,6,0.395,0.25,0.72,0.003,0.83,0.24,1.91,0.029,0.002,820,2,495,20,38.3333
69.85,139.7,4,0.42,0.2,0.93,0.006,1.05,0.23,0.17,0.026,0.005,870,3,550,-32,43.3857
25.4,254,4,0.42,0.3,0.97,0.019,1.11,0.34,0.17,0.019,0.005,860,3,695,-32,68.6667
12.5,190,3,0.325,0.23,0.54,0.002,1.07,0.24,0.15,0.028,0.005,870,3,660,-32,91.2903
12.7,330,3,0.42,0.24,0.58,0.026,1.24,0.26,1.36,0.023,0.004,850,2,620,20,57.3333
12.5,340,4,0.43,0.3,0.79,0.027,1.09,0.22,0.16,0.027,0.005,860,3,650,20,75
12.7,150,6,0.42,0.33,0.74,0.028,1.08,0.21,0.19,0.027,0.004,840,3,650,20,98.6667
12.5,230,4,0.4,0.24,0.85,0.02,1.1,0.24,0.2,0.031,0.005,860,3,640,20,103.3333
12.5,163,3,0.36,0.28,0.65,0.023,1.38,0.19,1.37,0.023,0.002,860,2,565,-20,43.3333
60.325,120.65,3,0.42,0.24,0.93,0.013,1.05,0.23,0.18,0.024,0.005,870,3,580,-32,29
12.5,80,3,0.365,0.34,0.44,0.003,1.77,0.42,4.01,0.025,0.005,875,1,550,20,51
12.7,180,3,0.41,0.24,0.77,0.03,1.09,0.24,0.17,0.028,0.003,860,3,670,20,121
60.325,120.65,4,0.42,0.24,0.93,0.008,1.06,0.24,0.17,0.026,0.005,870,3,690,-32,96.6667
12.5,170,3,0.34,0.23,0.7,0.029,1.4,0.16,1.4,0.032,0.004,860,2,600,-20,82.3333
12.5,290,4,0.42,0.25,0.79,0.025,1.12,0.21,0.22,0.024,0.004,850,3,640,20,82
20.5,123,6,0.225,0.29,1.25,0.016,1.02,0.23,0.71,0.021,0.005,860,3,610,0,159.3333
25.4,158.75,4,0.41,0.24,0.92,0.019,1.05,0.24,0.16,0.025,0.005,860,3,680,-32,68.3333
17,340,3,0.41,0.24,0.82,0.03,1.11,0.25,0.18,0.03,0.005,870,3,660,-20,44.8
12.5,320,3,0.41,0.28,0.75,0.025,1.1,0.23,0.23,0.032,0.005,860,3,660,20,75.3333
25.4,203.2,3,0.47,0.21,1.04,0.019,1.08,0.31,0.14,0.024,0.004,870,3,610,23,69.6667
19.5,117,6,0.245,0.3,1.29,0.011,1.35,0.3,0.7,0.028,0.005,880,3,620,-20,142.6667
12.7,90,3,0.41,0.28,0.79,0.026,1.09,0.29,0.27,0.024,0.004,870,3,650,20,121.3333
12.7,100,3,0.41,0.26,0.58,0.025,1.19,0.27,1.4,0.022,0.005,850,2,640,20,111.6667
12.7,240,4,0.44,0.28,0.74,0.023,1.15,0.19,0.17,0.03,0.005,860,3,630,20,79.7333
8,16,6,0.335,0.23,0.65,0.013,1.05,0.19,0.2,0.03,0.004,860,2,540,23,74.3333
25.4,220,3,0.31,0.28,0.57,0.003,1.06,0.23,0.12,0.02,0.005,870,3,680,23,170
12.7,140,5,0.4,0.22,0.73,0.027,0.82,0.19,0.76,0.03,0.004,850,1,560,20,72
12.5,220,4,0.43,0.26,0.76,0.021,1.1,0.19,0.22,0.023,0.005,860,3,640,20,100.2667
12.5,230,4,0.42,0.26,0.74,0.025,1.08,0.2,0.3,0.03,0.005,860,3,620,20,98.4
12.7,330,3,0.42,0.24,0.6,0.007,1.2,0.28,1.37,0.029,0.004,850,1,630,20,92.6667
12.5,120.65,3,0.43,0.23,0.92,0.002,1.04,0.24,0.18,0.024,0.004,870,3,710,-45,55.1357
12.5,75,6,0.365,0.34,0.44,0.003,1.77,0.42,4.01,0.025,0.005,875,1,560,23,44
12.7,280,3,0.4,0.23,0.57,0.028,1.12,0.26,1.41,0.027,0.006,850,2,600,20,36
12.7,180,3,0.41,0.24,0.74,0.021,1.13,0.2,0.22,0.023,0.004,870,3,640,20,114.1333
12.7,130,3,0.32,0.2,0.53,0.006,1.05,0.23,0.17,0.024,0.004,870,3,700,-32,136.484
25.4,205,3,0.4,0.21,0.96,0.018,1.09,0.3,0.12,0.025,0.005,870,3,700,-32,131.6667
12.5,180,3,0.355,0.29,0.59,0.024,1.54,0.18,1.45,0.034,0.004,860,2,620,20,115.3333
12.7,300,3,0.42,0.28,0.76,0.024,1.09,0.2,0.24,0.036,0.005,860,3,660,20,87.3333
12.5,300,4,0.43,0.24,0.75,0.027,1.06,0.22,0.29,0.036,0.005,860,3,650,20,94.6667
12.7,150,6,0.41,0.24,0.74,0.021,1.13,0.2,0.22,0.023,0.004,840,3,645,20,104.6667
25.4,127,4,0.42,0.28,0.93,0.023,1.05,0.24,0.21,0.033,0.005,860,3,690,-32,80.6667
31.75,127,6,0.315,0.24,0.62,0.02,0.99,0.18,0.2,0.018,0.005,870,3,635,-59,47.453
19.5,117,6,0.29,0.27,1.65,0.018,0.16,0.03,0.09,0.019,0.06,870,3,640,-20,139.6667
12.7,180,3,0.42,0.28,0.75,0.021,1.14,0.22,0.14,0.027,0.004,850,3,650,20,104.5333
12.7,130,3,0.42,0.22,0.71,0.028,0.99,0.16,0.19,0.03,0.006,860,2,550,20,40.6667
44.45,88.9,3,0.42,0.27,0.94,0.008,1.05,0.24,0.24,0.046,0.005,870,3,705,-32,117.3333
12.7,330,3,0.41,0.24,0.59,0.028,1.22,0.27,1.37,0.024,0.004,850,1,620,20,49.3333
25.4,69.85,3,0.41,0.18,0.84,0.009,1.03,0.21,0.23,0.018,0.003,870,3,575,-32,67
12.5,200,3,0.13,0.26,0.44,0.035,1.03,0.47,0.17,0.003,0.005,925,2,680,20,104.6667
8,16,6,0.27,0.22,0.86,0.024,1.05,0.17,0.24,0.032,0.005,860,3,580,20,101.6667
12.5,120,6,0.42,0.27,0.75,0.021,1.09,0.22,0.19,0.027,0.002,840,3,640,20,95.3333
25.4,220,3,0.315,0.26,0.54,0.002,1.06,0.24,0.16,0.027,0.004,870,3,685,-59,47
12.5,130,3,0.42,0.28,0.75,0.023,1.12,0.21,0.2,0.029,0.005,860,2,590,20,62.3333
25.4,120.65,3,0.42,0.24,0.96,0.018,1,0.23,0.22,0.024,0.004,860,3,705,-32,89.6667
12.7,150,6,0.43,0.28,0.75,0.024,1.08,0.21,0.22,0.026,0.004,840,3,650,20,98
25.4,254,3,0.41,0.27,0.93,0.019,1.1,0.35,0.22,0.025,0.006,860,3,705,-32,71.3333
41.275,82.55,3,0.42,0.25,0.94,0.005,1.05,0.24,0.19,0.031,0.005,870,3,600,-32,87.675
8,16,6,0.26,0.26,0.82,0.028,1.06,0.18,0.21,0.029,0.004,860,3,580,20,109.3333
12.5,260,4,0.42,0.31,0.75,0.026,1.11,0.21,0.22,0.028,0.005,860,3,630,20,106.1333
19.5,117,6,0.245,0.35,1.26,0.008,1.28,0.3,0.69,0.035,0.006,880,3,620,-20,136.3333
12.7,220,3,0.42,0.28,0.76,0.023,1.05,0.21,0.18,0.029,0.006,860,3,660,20,93.3333
25.4,120.65,3,0.42,0.24,0.9,0.02,1.05,0.24,0.19,0.027,0.005,860,3,700,-32,65
12.5,135,4,0.43,0.24,0.95,0.016,1.14,0.24,0.16,0.028,0.005,870,3,690,-32,107.3333
12.5,50,6,0.42,0.24,0.75,0.001,0.85,0.25,1.67,0.022,0.003,820,2,495,20,29
25.4,220,3,0.315,0.26,0.54,0.002,1.06,0.24,0.16,0.027,0.004,870,3,685,23,148
12.5,170,4,0.42,0.29,0.73,0.024,1.11,0.2,0.22,0.03,0.004,860,3,640,20,104
12.7,300,4,0.41,0.29,0.78,0.021,1.08,0.21,0.25,0.028,0.006,850,3,640,20,77.3333
12.5,210,4,0.42,0.23,0.72,0.023,1.03,0.2,0.25,0.026,0.005,860,3,650,20,110.6667
12.5,290,3,0.325,0.22,0.53,0.004,1.04,0.24,0.25,0.035,0.005,870,3,660,-32,73.213
12.5,130,3,0.32,0.27,0.55,0.004,1.08,0.24,0.17,0.027,0.005,870,3,675,-32,115.695
12.7,150,6,0.41,0.26,0.57,0.006,0.64,0.51,2.42,0.032,0.003,840,2,650,20,102.6667
25.4,203.2,4,0.43,0.25,0.97,0.017,1.15,0.31,0.16,0.025,0.005,860,3,700,23,124.6667
25.4,304.8,3,0.47,0.24,1.04,0.012,1.06,0.33,0.14,0.027,0.003,870,3,615,-32,54.6667
69.85,139.7,4,0.42,0.18,0.93,0.01,1.06,0.23,0.22,0.022,0.005,870,3,550,-32,24.4043
12.5,50,6,0.4,0.31,0.82,0.023,1.12,0.18,0.19,0.032,0.005,870,3,710,-46,136.6667
12.5,381,4,0.4,0.25,0.78,0.024,1.09,0.22,0.25,0.024,0.005,860,3,650,20,75.6667
25.4,69.85,3,0.4,0.23,0.84,0.018,0.94,0.17,0.19,0.033,0.004,860,3,560,23,84
25.4,101.6,3,0.41,0.25,0.96,0.015,1.04,0.24,0.21,0.028,0.005,860,3,705,-32,111
12.7,305,3,0.41,0.25,0.59,0.03,1.22,0.28,1.47,0.032,0.004,850,1,630,20,42.3333
25.4,222.25,3,0.41,0.24,0.96,0.018,1.12,0.32,0.18,0.022,0.004,870,3,705,-32,113.3333
12.5,120,3,0.43,0.31,0.74,0.011,1.11,0.19,0.24,0.037,0.005,870,3,590,-20,83.4667
12.5,90,3,0.365,0.34,0.44,0.003,1.77,0.42,4.01,0.025,0.005,875,1,550,20,47
25.4,76.2,6,0.41,0.28,0.96,0.021,0.99,0.2,0.14,0.021,0.007,870,2,640,23,63.3333
12.5,320,4,0.41,0.25,0.82,0.023,1.06,0.2,0.19,0.032,0.005,860,3,640,20,85.0667
12.7,190,3,0.32,0.22,0.53,0.007,1.05,0.24,0.15,0.028,0.005,870,3,650,-32,76.8287
12.5,107.95,4,0.43,0.23,0.92,0.002,1.04,0.24,0.18,0.024,0.004,870,3,700,-50,76.3767
12.7,155,3,0.32,0.23,0.52,0.002,1.07,0.24,0.15,0.026,0.004,870,3,660,-32,86.319
12.7,230,3,0.36,0.32,0.76,0.033,1.41,0.21,1.36,0.032,0.009,850,1,570,-20,22
12.5,75,6,0.375,0.31,0.46,0.001,1.79,0.44,4.09,0.026,0.005,875,1,560,23,48
12.5,340,4,0.41,0.23,0.78,0.024,1.06,0.18,0.2,0.028,0.005,860,3,640,-20,38.9333
12.7,280,4,0.42,0.28,0.76,0.024,1.09,0.2,0.24,0.036,0.005,860,3,630,20,97.0667
12.7,95,5,0.41,0.24,0.59,0.028,1.22,0.27,1.37,0.024,0.004,850,1,650,20,90.3333
25.4,311.15,3,0.46,0.25,1.06,0.015,1.09,0.33,0.21,0.025,0.005,870,3,610,23,84.6667
25.4,127,3,0.42,0.28,0.94,0.019,1.04,0.24,0.18,0.025,0.005,860,3,705,-32,61.3333
12.7,260,3,0.41,0.24,0.59,0.027,1.23,0.31,1.44,0.03,0.002,850,1,640,20,78.3333
53.975,107.95,3,0.42,0.2,0.95,0.009,1.04,0.24,0.14,0.03,0.005,870,3,705,-32,127.897
12.7,240,3,0.42,0.29,0.86,0.025,1.06,0.21,0.2,0.035,0.004,860,3,660,20,123.3333
25.4,177.8,4,0.42,0.25,0.92,0.018,1.04,0.24,0.17,0.023,0.005,860,3,690,-32,74
12.5,230,4,0.41,0.29,0.86,0.022,1.09,0.22,0.18,0.032,0.005,860,3,640,20,97.8667
12.5,200,4,0.43,0.24,0.75,0.027,1.06,0.22,0.29,0.036,0.005,870,3,650,20,110.3333
25.4,215.9,4,0.42,0.3,0.97,0.019,1.11,0.34,0.17,0.019,0.005,870,3,695,-32,81.6667
25.4,215.9,3,0.47,0.23,1.05,0.02,1.06,0.31,0.18,0.028,0.005,850,3,610,23,70
25.4,69.85,3,0.42,0.26,0.96,0.012,1.04,0.23,0.17,0.026,0.004,860,3,580,23,68.6667
25.4,279.4,3,0.48,0.28,1.09,0.021,1.16,0.34,0.23,0.024,0.005,870,3,635,-32,57.3953
12.7,125,5,0.4,0.26,0.58,0.029,1.21,0.26,1.4,0.031,0.004,850,1,660,20,104.6667
25.4,82.55,3,0.42,0.29,0.94,0.018,1.05,0.23,0.24,0.026,0.005,860,3,705,-32,114.6667
12.7,280,3,0.42,0.27,0.76,0.021,1.15,0.2,0.22,0.026,0.005,860,3,660,20,104.6667
25.4,215.9,4,0.48,0.27,1.13,0.016,1.16,0.34,0.17,0.022,0.004,870,3,610,23,61.6667
12.5,280,3,0.41,0.28,0.75,0.025,1.1,0.23,0.23,0.032,0.005,860,3,640,20,109.6
87.5,175,6,0.42,0.22,0.96,0.007,1.06,0.24,0.21,0.024,0.005,860,2,600,-32,34.347
12.7,360,3,0.4,0.28,0.51,0.026,1.2,0.26,1.44,0.026,0.004,850,1,600,20,53
12.7,340,3,0.42,0.26,0.78,0.025,1.07,0.22,0.19,0.035,0.003,860,3,660,20,80.6667
12.7,320,3,0.32,0.24,0.56,0.003,1.06,0.23,0.25,0.021,0.005,870,3,660,-32,64.6263
19.5,117,6,0.24,0.31,1.3,0.012,1.3,0.32,0.71,0.032,0.005,880,3,620,-20,152.3333
12.7,220,3,0.41,0.22,0.58,0.031,1.22,0.27,1.41,0.029,0.004,840,2,610,20,65
12.7,130,3,0.44,0.24,0.74,0.02,0.98,0.18,0.19,0.024,0.006,850,2,565,20,46.6667
12.7,120,3,0.41,0.25,0.8,0.024,1.11,0.22,0.16,0.037,0.005,860,3,650,20,144
12.7,220,3,0.3,0.25,0.42,0.023,1.93,0.35,1.9,0.025,0.005,860,2,580,20,77
25.4,146.05,3,0.42,0.29,0.94,0.018,1.05,0.23,0.24,0.026,0.005,860,3,705,-32,69.6667
12.7,170,4,0.41,0.3,0.72,0.019,1.13,0.21,0.21,0.028,0.005,860,3,620,20,112.2667
12.7,130,3,0.42,0.26,0.78,0.022,1.04,0.19,0.18,0.026,0.004,850,2,580,20,55.3333
12.7,305,3,0.4,0.26,0.56,0.032,1.19,0.26,1.4,0.034,0.003,840,2,610,20,42
12.5,101.6,6,0.325,0.22,0.53,0.002,1.05,0.24,0.18,0.026,0.004,900,3,660,-32,92.1943
19.5,117,6,0.235,0.32,1.29,0.01,1.32,0.3,0.73,0.028,0.004,880,3,620,-20,150.3333
50,100,6,0.42,0.28,0.93,0.023,1.05,0.24,0.21,0.033,0.005,870,3,700,-46,110.3333
12.7,170,3,0.44,0.25,0.79,0.026,1.12,0.22,0.16,0.024,0.005,850,3,680,20,136.3333
12.5,150,6,0.37,0.24,0.74,0.008,0.87,0.22,0.93,0.027,0.004,840,2,570,23,50
12.7,214,3,0.365,0.32,0.63,0.026,1.41,0.2,1.41,0.038,0.005,860,1,570,20,79.3333
12.5,305,3,0.31,0.21,0.54,0.004,1.05,0.24,0.19,0.032,0.005,870,3,660,-32,48.357
12.7,140,5,0.41,0.22,0.52,0.018,1.16,0.29,1.39,0.035,0.003,850,2,610,20,87.3333
12.7,250,3,0.42,0.24,0.77,0.025,1.07,0.2,0.26,0.031,0.004,860,3,660,20,106.3333
25.4,215.9,3,0.47,0.25,1.07,0.02,1.09,0.31,0.12,0.023,0.005,860,3,610,23,70.3333
8,16,6,0.28,0.27,0.83,0.031,1.04,0.16,0.18,0.019,0.003,860,3,580,20,92.6667
12.5,242,4,0.43,0.26,0.76,0.021,1.1,0.19,0.22,0.023,0.005,860,3,640,20,92.2667
12.7,240,4,0.43,0.3,0.76,0.028,1.12,0.16,0.21,0.03,0.004,860,3,630,20,76.3333
12.5,255,3,0.41,0.26,0.79,0.002,1.01,0.17,0.18,0.03,0.004,860,3,650,20,112.6667
5.5,11,6,0.355,0.28,0.44,0.023,1.72,0.26,3.82,0.032,0.005,870,1,550,20,39.6667
25.4,279.4,3,0.4,0.24,0.96,0.021,1.1,0.3,0.18,0.031,0.005,870,3,700,23,116
12.5,210,3,0.41,0.28,0.75,0.025,1.1,0.23,0.23,0.032,0.005,860,3,640,20,98.6667
25.4,139.7,4,0.41,0.23,0.94,0.02,1.04,0.23,0.24,0.026,0.005,860,3,690,-32,92
12.7,140,3,0.44,0.24,0.74,0.02,0.98,0.18,0.19,0.024,0.006,860,2,565,20,40.3333
12.5,280,3,0.42,0.27,0.92,0.018,1.15,0.23,0.13,0.022,0.004,870,3,710,-32,62
12.5,75,3,0.315,0.2,0.53,0.007,1.06,0.23,0.12,0.022,0.005,870,3,690,-32,173.9943
25.4,222.25,4,0.42,0.29,0.97,0.019,1.11,0.33,0.19,0.031,0.005,860,3,700,23,117.6667
82.55,165.1,4,0.32,0.24,0.54,0.003,1.04,0.24,0.18,0.039,0.005,870,3,650,-59,56.4917
25.4,69.85,3,0.42,0.24,0.96,0.017,1.04,0.23,0.15,0.022,0.005,870,3,710,-32,103
19.5,117,6,0.3,0.27,1.73,0.012,0.17,0.03,0.1,0.022,0.053,900,3,640,-20,72.6667
25.4,107.95,3,0.41,0.24,0.92,0.019,1.05,0.24,0.16,0.025,0.005,860,3,710,-32,83.3333
25.4,203.2,3,0.41,0.26,0.99,0.015,1.1,0.32,0.14,0.024,0.005,870,3,705,23,122
12.5,150,4,0.43,0.31,0.74,0.011,1.11,0.19,0.24,0.037,0.005,870,3,620,-30,93.3333
12.5,30,6,0.47,0.23,0.65,0.024,0.14,0.04,0.15,0.026,0.005,840,2,580,20,39.6667
12.7,260,3,0.42,0.28,0.76,0.023,1.05,0.21,0.18,0.029,0.006,860,3,660,20,93.3333
25.4,152.4,4,0.42,0.24,0.94,0.004,1.03,0.24,0.17,0.022,0.005,860,3,695,-32,81.3333
12.5,190,4,0.42,0.25,0.84,0.022,1.08,0.22,0.23,0.027,0.004,860,3,650,20,134
10,20,6,0.355,0.21,1.55,0.017,0.13,0.03,0.11,0.023,0.003,850,1,610,-20,100.5333
12.5,140,3,0.315,0.24,0.53,0.015,1.06,0.24,0.24,0.031,0.003,870,3,660,-32,136.484
12.7,100,5,0.43,0.28,0.75,0.024,1.13,0.23,0.2,0.028,0.004,850,1,570,20,60.3333
12.5,110,3,0.34,0.22,0.67,0.029,1.53,0.19,1.43,0.03,0.006,860,2,590,-20,38.6667
12.5,251,2,0.43,0.23,0.79,0.0008,1.02,0.19,0.25,0.035,0.005,860,3,600,-20,96
44.45,88.9,3,0.42,0.27,0.94,0.008,1.05,0.24,0.24,0.046,0.005,870,3,705,-32,123.8297
53.975,107.95,3,0.42,0.24,0.93,0.013,1.05,0.23,0.18,0.024,0.005,870,3,705,-32,112.6667
25.4,330.2,3,0.42,0.26,0.95,0.019,1.1,0.3,0.2,0.025,0.004,870,3,705,-32,43.3333
73.025,146.05,4,0.42,0.24,0.95,0.007,1.06,0.24,0.21,0.023,0.005,870,3,690,-32,81.348
12.7,165,5,0.42,0.22,0.55,0.034,1.17,0.26,1.31,0.032,0.004,850,2,620,20,80.3333
146.05,292.1,6,0.32,0.27,0.55,0.004,1.08,0.24,0.17,0.027,0.005,880,3,650,-59,47.453
12.7,90,3,0.325,0.2,0.56,0.008,1.04,0.25,0.17,0.028,0.004,870,3,690,-32,134.6763
12.7,76.2,6,0.33,0.27,0.74,0.03,1.33,0.03,0.07,0.038,0.005,900,1,590,20,101.6667
25.4,165.1,4,0.42,0.24,0.95,0.019,1.05,0.24,0.2,0.027,0.005,860,3,690,-32,86.6667
12.7,110,5,0.32,0.21,0.54,0.006,1.02,0.23,0.18,0.027,0.004,870,3,620,-32,72.6667
12.7,280,3,0.44,0.28,0.74,0.023,1.15,0.19,0.17,0.03,0.005,850,3,645,20,87.2
15,30,6,0.345,0.22,0.68,0.031,0.8,0.17,1.81,0.036,0.002,830,2,600,23,44.3333
25.4,101.6,3,0.41,0.25,0.96,0.015,1.04,0.24,0.21,0.028,0.005,860,3,705,-32,111
35.8333,215,3,0.42,0.26,0.77,0.025,1.06,0.29,0.2,0.029,0.005,870,3,650,20,115.3333
25.4,171.45,4,0.42,0.24,0.95,0.019,1.05,0.24,0.2,0.027,0.005,860,3,690,-32,67
25.4,101.6,3,0.42,0.28,0.94,0.019,1.04,0.24,0.18,0.025,0.005,860,3,705,-32,65.6667
12.5,133.35,3,0.42,0.25,0.96,0.004,1.07,0.23,0.15,0.03,0.005,870,3,705,-45,64.1743
12.5,260,4,0.41,0.28,0.75,0.025,1.1,0.23,0.23,0.032,0.005,860,3,650,20,100.8
62.5,250,3,0.42,0.29,0.94,0.018,1.05,0.23,0.24,0.026,0.005,870,3,530,20,20.6667
25.4,311.15,3,0.45,0.22,1.03,0.02,1.06,0.31,0.18,0.022,0.004,860,3,600,23,58.3333
12.5,150,4,0.42,0.23,0.72,0.023,1.03,0.2,0.25,0.026,0.005,860,3,620,20,103.3333
25.4,127,3,0.42,0.28,0.94,0.019,1.04,0.24,0.18,0.025,0.005,860,3,705,-32,60.6667
25.4,203.2,3,0.42,0.26,0.95,0.019,1.1,0.3,0.2,0.025,0.004,870,3,705,-32,90
25.4,279.4,3,0.4,0.21,0.93,0.019,1.14,0.33,0.16,0.018,0.005,870,3,700,-32,78.6667
19.5,117,6,0.305,0.27,1.75,0.017,0.17,0.03,0.1,0.022,0.052,870,3,640,-20,93
12.5,100,3,0.37,0.25,0.66,0.032,1.39,0.17,1.36,0.027,0.005,860,2,580,-20,84.3333
25.4,210,4,0.47,0.32,1.04,0.016,1.11,0.32,0.16,0.031,0.005,870,3,610,0,47.905
12.7,115,5,0.41,0.29,0.56,0.01,1.16,0.26,1.41,0.035,0.005,850,3,660,20,117
12.7,240,3,0.42,0.24,0.71,0.022,1.15,0.21,0.21,0.029,0.004,860,3,640,20,86.6667
14.5,29,6,0.4,0.25,0.72,0.004,0.81,0.24,1.72,0.028,0.002,845,2,450,-45,17.625
12.7,305,3,0.41,0.27,0.6,0.03,1.21,0.27,1.5,0.02,0.005,850,2,620,20,59.6667
17.5,105,3,0.25,0.18,0.76,0.007,1.05,0.22,0.18,0.028,0.004,860,3,640,20,189.3333
12.5,130,3,0.42,0.29,0.77,0.023,1.09,0.2,0.21,0.03,0.005,860,2,590,23,46
25.4,220,3,0.42,0.28,0.97,0.019,1.13,0.31,0.18,0.029,0.004,870,3,705,23,138.3333
12.7,230,3,0.32,0.28,0.55,0.002,1.07,0.24,0.11,0.029,0.004,870,3,660,-32,65.0783
12.5,240,3,0.42,0.23,0.72,0.023,1.03,0.2,0.25,0.026,0.005,860,3,660,20,109.3333
12.5,250,3,0.42,0.26,0.94,0.018,1.13,0.24,0.19,0.025,0.005,870,3,700,-32,90.6667
31.75,127,6,0.33,0.23,0.55,0.006,1.05,0.24,0.12,0.034,0.005,880,3,645,-59,46.0973
41.275,82.55,3,0.42,0.25,0.95,0.003,1.04,0.24,0.24,0.031,0.005,870,3,705,-32,119.3103
12.5,235,4,0.42,0.24,0.8,0.002,1,0.17,0.17,0.027,0.005,860,3,650,20,128
25.4,311.15,3,0.41,0.24,0.96,0.018,1.12,0.32,0.18,0.022,0.004,860,3,700,-32,28.3333
25.4,190.5,3,0.41,0.24,0.96,0.018,1.12,0.32,0.18,0.022,0.004,870,3,705,23,147.6667
12.7,280,3,0.42,0.27,0.76,0.021,1.15,0.2,0.22,0.026,0.005,860,3,660,20,114.6667
12.7,150,6,0.49,0.26,0.76,0.025,0.18,0.07,0.14,0.027,0.004,850,1,600,20,114
20.8333,125,6,0.3,0.26,1.68,0.025,0.17,0.03,0.1,0.027,0.057,900,3,640,0,149.3333
25.4,82.55,3,0.42,0.24,0.93,0.002,1.06,0.24,0.22,0.025,0.005,860,3,705,-32,133.6667
53.975,107.95,4,0.42,0.19,0.92,0.004,1.08,0.23,0.18,0.022,0.005,870,3,690,-26,106.6563
12.7,320,3,0.31,0.24,0.53,0.007,1.04,0.24,0.2,0.03,0.005,870,3,660,-32,65.0787
12.7,204,3,0.355,0.32,0.55,0.031,1.52,0.18,1.53,0.032,0.007,850,1,570,20,66.6667
25.4,95.25,3,0.46,0.28,1.05,0.018,1.09,0.31,0.17,0.022,0.005,870,3,610,23,70.3333
25.4,107.95,3,0.42,0.22,0.92,0.017,1.05,0.24,0.14,0.024,0.005,860,3,700,-32,69.6667
25.4,203.2,4,0.46,0.23,1.11,0.019,1.15,0.3,0.2,0.019,0.005,870,3,600,20,60
12.5,270,4,0.43,0.3,0.84,0.022,1.03,0.21,0.23,0.022,0.004,860,3,650,20,91.6667
12.5,230,3,0.42,0.29,0.78,0.024,1.13,0.2,0.2,0.024,0.005,860,3,670,20,103.6667
25.4,101.6,3,0.41,0.25,0.94,0.006,1.05,0.24,0.22,0.028,0.003,860,3,705,-32,92.3333
12.5,300,4,0.42,0.29,0.78,0.024,1.13,0.2,0.2,0.024,0.005,860,3,620,20,54.9333
12.5,250,3,0.4,0.25,0.78,0.024,1.09,0.22,0.25,0.024,0.005,860,3,650,20,96.3333
12.5,80,3,0.315,0.25,0.54,0.004,1.05,0.23,0.14,0.047,0.005,870,3,690,-32,166.3113
25.4,152.4,4,0.42,0.27,0.95,0.018,1.08,0.24,0.18,0.024,0.005,860,3,690,-32,62.3333
12.7,30,6,0.335,0.28,0.76,0.02,0.95,0.18,0.22,0.023,0.005,860,2,550,20,70.6667
75,150,6,0.41,0.18,0.84,0.009,1.03,0.21,0.23,0.018,0.003,870,3,700,-46,77.3333
25.4,114,3,0.41,0.25,0.94,0.006,1.05,0.24,0.22,0.028,0.003,860,3,705,-32,71
12.5,135,2,0.43,0.32,0.82,0.016,1,0.19,0.18,0.028,0.003,860,3,600,-20,58.4
12.7,205.56,3,0.42,0.26,0.61,0.03,1.21,0.27,1.4,0.024,0.004,850,2,650,20,101.6667
12.5,255,3,0.41,0.25,0.77,0.001,1.05,0.2,0.25,0.035,0.005,860,3,660,20,132.6667
25.4,215.9,3,0.42,0.26,0.97,0.019,1.06,0.32,0.22,0.022,0.005,870,3,705,23,127.3333
12.7,150,6,0.41,0.26,0.57,0.006,0.64,0.51,2.42,0.032,0.003,840,2,650,20,102.6667
12.5,290,4,0.43,0.3,0.79,0.027,1.09,0.22,0.16,0.027,0.005,860,3,650,20,85.6667
25.4,165.1,4,0.42,0.26,0.93,0.008,1.04,0.24,0.19,0.022,0.004,860,3,700,-32,65.6667
66.675,133.35,3,0.42,0.26,0.96,0.012,1.04,0.23,0.17,0.026,0.004,870,3,705,-32,82
25.4,120,4,0.46,0.28,1.05,0.018,1.09,0.31,0.17,0.022,0.005,870,3,600,-32,65.5303
25.4,158.75,4,0.42,0.25,0.92,0.018,1.04,0.24,0.17,0.023,0.005,860,3,690,-32,86.3333
12.5,125,3,0.325,0.23,0.54,0.002,1.07,0.24,0.15,0.028,0.005,870,3,670,-32,173.5427
12.5,180,3,0.42,0.26,0.76,0.025,1.09,0.22,0.21,0.033,0.005,860,3,680,-20,72.6667
12.7,230,3,0.41,0.28,0.57,0.025,1.21,0.28,1.42,0.03,0.005,850,1,620,20,75.3333
12.5,180,4,0.42,0.29,0.73,0.024,1.11,0.2,0.22,0.03,0.004,860,3,630,20,97.0667
12.5,231,2,0.41,0.28,0.86,0.018,1.09,0.19,0.2,0.028,0.006,860,3,570,-20,4.0267
